"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"148","Vanderbilt","Private","SEC",2004,1.5,2005,4.4
"149","Wake Forest","Private","ACC",2004,-5.3,2005,0
"150","Washington State","Public","Pac 12",2004,-31.5,2005,-2.9
"151","Arizona State","Public","Pac 12",2005,-16.7,2006,4
"152","Auburn","Public","SEC",2005,-25,2006,11.7
"153","Baylor","Private","Big 12",2005,18.2,2006,38.2
"154","Clemson","Public","ACC",2005,12.1,2006,20.4
"155","Duke","Private","ACC",2005,-9.1,2006,-7
"156","Florida State","Public","ACC",2005,-13.5,2006,5.5
"157","Georgia Tech","Public","ACC",2005,0,2006,0.9
"158","Indiana","Public","Big 10",2005,9.1,2006,21.3
"159","Iowa State","Public","Big 12",2005,0,2006,0
"160","Kansas State","Public","Big 12",2005,9.1,2006,-1.3
"161","LSU","Public","SEC",2005,9.6,2006,-2.3
"162","Michigan State","Public","Big 10",2005,3.8,2006,6.4
"163","Mississippi State","Public","SEC",2005,0,2006,0
"164","North Carolina State","Public","ACC",2005,12.9,2006,-2.5
"165","Northwestern","Private","Big 10",2005,8.3,2006,3.6
"166","Ohio State","Public","Big 10",2005,16.7,2006,7.9
"167","Oklahoma State","Public","Big 12",2005,-22,2006,3
"168","Oregon State","Public","Pac 12",2005,-12.9,2006,-5.3
"169","Penn State","Public","Big 10",2005,55.3,2006,-0.7
"170","Purdue","Public","Big 10",2005,-12.9,2006,3.5
"171","Stanford","Private","Pac 12",2005,9.1,2006,10.6
"172","Texas Tech","Public","Big 12",2005,8.3,2006,9.7
"173","Alabama","Public","SEC",2005,33.3,2006,18.6
"174","Tennessee","Public","SEC",2005,-31.5,2006,13.1
"175","Texas","Public","Big 12",2005,8.3,2006,14.2
"176","Arizona","Public","Pac 12",2005,0,2006,-7.2
"177","Arkansas","Public","SEC",2005,-9.1,2006,39.8
"178","California","Public","Pac 12",2005,-19.7,2006,0.9
"179","UCLA","Public","Pac 12",2005,33.3,2006,-2.4
"180","Florida","Public","SEC",2005,16.7,2006,4.5
"181","Georgia","Public","SEC",2005,-6.4,2006,-7.1
"182","Illinois","Public","Big 10",2005,-9.1,2006,-13.6
"183","Iowa","Public","Big 10",2005,-25,2006,8.4
"184","Kansas","Public","Big 12",2005,22,2006,-3.9
"185","Kentucky","Public","SEC",2005,9.1,2006,-0.8
"186","Maryland","Public","ACC",2005,0,2006,5
"187","Michigan","Public","Big 10",2005,-16.7,2006,8.1
"188","Minnesota","Public","Big 10",2005,0,2006,19.9
"189","Mississippi","Public","SEC",2005,-9.1,2006,1.5
"190","North Carolina","Public","ACC",2005,-4.5,2006,-2.3
"191","Oklahoma","Public","Big 12",2005,-25.6,2006,11.4
"192","Oregon","Public","Pac 12",2005,45.5,2006,4
"193","South Carolina","Public","SEC",2005,3.8,2006,5.2
"194","Southern California","Private","Pac 12",2005,-7.7,2006,7.4
